Model,Accuracy,Precision,Recall,F1-score,F1-macro,CV Accuracy Mean,CV Accuracy Std,CV F1-weighted Mean,CV F1-weighted Std
Random Forest,0.990990990990991,0.9912912912912912,0.990990990990991,0.9910339718249322,0.9918811466834065,0.9887640449438202,0.012308372078767766,0.9889024965756942,0.012105384987543941
SVM,0.9819819819819819,0.9831444347573379,0.9819819819819819,0.9821478194612523,0.9839137645107794,0.9752042900919307,0.01936726368981284,0.9750246792826598,0.019497944621395896
XGBoost,1.0,1.0,1.0,1.0,1.0,0.986491317671093,0.013098982085694483,0.9864947048144768,0.013068536252748892
